Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os03g0230500,00562+2.7.1.134+2.7.1.159,4332146
Os03g0231150,,
Os03g0237600,,4332190
Os03g0237600,,4332190
Os03g0237600,,4332190
Os03g0253800,,9272347
Os03g0253800,,9272347
Os03g0253800,,9272347
Os03g0255100,00531+3.2.1.23,4332289
Os03g0255100,00600+3.2.1.23,4332289
Os03g0255100,00604+3.2.1.23,4332289
Os03g0255100,00052+3.2.1.23,4332289
Os03g0255100,00511+3.2.1.23,4332289
Os03g0255100,00531+3.2.1.23,4332289
Os03g0255100,00600+3.2.1.23,4332289
Os03g0255100,00604+3.2.1.23,4332289
Os03g0255100,00052+3.2.1.23,4332289
Os03g0255100,00511+3.2.1.23,4332289
Os03g0264400,00400+4.1.3.27,4332341
Os03g0264400,00405+4.1.3.27,4332341
Os03g0264400,00400+4.1.3.27,4332341
Os03g0264400,00405+4.1.3.27,4332341
Os03g0264400,00400+4.1.3.27,4332341
Os03g0264400,00405+4.1.3.27,4332341
Os03g0276500,,4332413
Os03g0283100,,4332455
Os03g0283100,,4332455
Os03g0314500,,
Os03g0314500,,
Os03g0319400,05170+2.7.11.1,4332665
Os03g0319400,05163+2.7.11.1,4332665
Os03g0319400,04150+2.7.11.1,4332665
Os03g0319400,04714+2.7.11.1,4332665
Os03g0319400,05165+2.7.11.1,4332665
Os03g0319400,04926+2.7.11.1,4332665
Os03g0319400,04151+2.7.11.1,4332665
Os03g0319400,05170+2.7.11.1,4332665
Os03g0319400,05163+2.7.11.1,4332665
Os03g0319400,04150+2.7.11.1,4332665
Os03g0319400,04714+2.7.11.1,4332665
Os03g0319400,05165+2.7.11.1,4332665
Os03g0319400,04926+2.7.11.1,4332665
Os03g0319400,04151+2.7.11.1,4332665
Os03g0319400,,4332665
Os03g0320100,00520+3.2.1.55,
Os03g0340900,00970+6.1.1.3,4332791
Os03g0340900,00230+2.7.6.5,4332791
Os03g0362200,,4332894
Os03g0363100,,4332896
Os03g0405500,,4333075
Os03g0405500,,4333075
Os03g0405900,,4333077
Os03g0409100,,4333085
Os03g0409100,,4333085
Os03g0409100,,4333085
Os03g0410700,,4333091
Os03g0425600,00053+1.1.1.22,4333156
Os03g0425600,00520+1.1.1.22,4333156
Os03g0425600,00040+1.1.1.22,4333156
Os03g0439700,,4333209
Os03g0441500,,4333216
Os03g0441500,,4333216
Os03g0566800,,4333273
Os03g0572900,,4333291
Os03g0577200,,4333310
Os03g0609500,,4333430
Os03g0634400,05170+2.7.11.1,
Os03g0634400,05163+2.7.11.1,
Os03g0634400,04150+2.7.11.1,
Os03g0634400,04714+2.7.11.1,
Os03g0634400,05165+2.7.11.1,
Os03g0634400,04926+2.7.11.1,
Os03g0634400,04151+2.7.11.1,
Os03g0643300,00330+2.6.1.13,4333554
Os03g0655400,,4333610
Os03g0655700,00660+1.1.1.85,
Os03g0655700,00290+1.1.1.85,
Os03g0655700,00660+1.1.1.85,
Os03g0655700,00290+1.1.1.85,
Os03g0661600,,
Os03g0665700,,4333658
Os03g0684700,,4333744
Os03g0685300,,4333748
Os03g0687000,,9269916
Os03g0687000,,9269916
Os03g0700400,,4333821
Os03g0700800,,4333824
Os03g0700800,,4333824
Os03g0700800,,4333824
Os03g0717000,,
Os03g0717000,,
Os03g0719400,,4333927
Os03g0729000,,4333985
Os03g0743900,00230+2.7.7.4,4334073
Os03g0743900,00450+2.7.7.4,4334073
Os03g0743900,00920+2.7.7.4,4334073
Os03g0743900,00261+2.7.7.4,4334073
Os03g0744600,,4334077
Os03g0744700,,4334078
Os03g0747900,,
Os03g0749500,,4334116
Os03g0759000,,
Os03g0761100,04658+3.1.3.16,4334191
Os03g0761100,04660+3.1.3.16,4334191
Os03g0761100,04658+3.1.3.16,4334191
Os03g0761100,04660+3.1.3.16,4334191
Os03g0761100,04658+3.1.3.16,4334191
Os03g0761100,04660+3.1.3.16,4334191
Os03g0764600,,4334216
Os03g0775700,,4334289
Os03g0776000,00030+5.3.1.9,4334290
Os03g0776000,00520+5.3.1.9,4334290
Os03g0776000,00500+5.3.1.9,4334290
Os03g0776000,00010+5.3.1.9,4334290
Os03g0778000,,
Os03g0784700,00195+1.18.1.2,4334338
Os03g0784700,00195+1.18.1.2,4334338
Os03g0790600,,
Os03g0790600,,
Os03g0790600,,
Os03g0794700,,4334407
Os03g0794700,,4342526
Os03g0797400,00260+4.2.1.20,4334427
Os03g0797400,00400+4.2.1.20,4334427
Os03g0797500,00260+4.2.1.20,9268807
Os03g0797500,00400+4.2.1.20,9268807
Os03g0799000,,4334439
Os03g0802100,,
Os03g0804300,,4334485
Os03g0804300,,4334485
Os03g0812400,,4334549
Os03g0821100,,4334598
Os03g0826800,,4334643
Os03g0832600,00052+2.7.1.6,4334679
Os03g0832600,00520+2.7.1.6,4334679
Os03g0835100,,4334695
Os03g0835400,,4334698
Os03g0837100,,4334710
Os03g0837100,,4334710
Os03g0837100,00500+2.4.1.12,4334710
Os03g0850400,00300+2.7.2.4,
Os03g0850400,00270+2.7.2.4,
Os03g0850400,00260+2.7.2.4,
Os03g0850400,00261+2.7.2.4,
Os03g0851200,,4334801
Os03g0857900,,4334848
Os03g0857900,,4334848
Os03g0860000,,
Os03g0860600,,
Os04g0101300,,
Os04g0101400,,4334886
Os04g0102500,,4334891
Os04g0102700,00970+6.3.5.7,4334893
Os04g0105100,,4334905
Os04g0105700,,4334910
Os04g0111200,00230+2.7.7.4,
Os04g0111200,00450+2.7.7.4,
Os04g0111200,00920+2.7.7.4,
Os04g0111200,00261+2.7.7.4,
Os04g0111225,00230+2.7.7.4,
Os04g0111225,00450+2.7.7.4,
Os04g0111225,00920+2.7.7.4,
Os04g0111225,00261+2.7.7.4,
Os04g0112300,,4334938
Os04g0112300,,4334938
Os04g0113000,,4334939
Os04g0113000,,4334939
Os04g0113000,,4334939
Os04g0117100,,4334952
Os04g0117200,,4334953
Os04g0117900,00970+6.3.5.7,4334956
Os04g0118100,00970+6.3.5.7,4334958
Os04g0119500,,4334969
Os04g0119500,,4334969
Os04g0129500,,4334998
Os04g0129500,,4334998
Os04g0129500,,4334998
Os04g0131900,00550+2.4.1.227,4335001
Os04g0136900,,4335012
Os04g0165300,,4335044
Os04g0165300,,4335044
Os04g0165400,,4335045
Os04g0165700,00920+2.5.1.47,4335048
Os04g0165700,00270+2.5.1.47,4335048
Os04g0165700,00460+4.4.1.9,4335048
Os04g0177600,,4335089
Os04g0177600,,4335089
Os04g0181100,,4335098
Os04g0182600,,
Os04g0182650,,
Os04g0183100,,4335104
Os04g0183100,,4335104
Os04g0185500,,4335112
Os04g0193950,,
Os04g0203600,,4335157
Os04g0204000,,
Os04g0204100,,
Os04g0206450,,
Os04g0206500,,4335167
Os04g0206600,,4335166
Os04g0208400,,4335171
Os04g0223500,,4335203
Os04g0223500,,4335203
Os04g0223901,,
Os04g0308500,,9267350
Os04g0308500,,4335442
Os04g0310100,,4335442
Os04g0310100,,9267350
Os04g0320700,,4335474
Os04g0320700,,4335474
Os04g0321100,,
Os04g0347800,,
Os04g0370300,,
Os04g0370500,,9270476
Os04g0370600,,4335592
Os04g0371600,,
Os04g0391500,,4335682
Os04g0391500,,4335682
Os04g0402100,,4335732
Os04g0402100,,4335732
Os04g0403701,04658+3.1.3.16,9271405
Os04g0403701,04660+3.1.3.16,9271405
Os04g0403900,,9267281
Os04g0429500,,
Os04g0429800,00760+6.3.4.21,4335862
Os04g0442100,,4335935
Os04g0442300,,4335937
Os04g0442300,,4335937
Os04g0445200,00230+3.5.3.26,4335957
Os04g0450500,,
Os04g0452300,,
Os04g0452700,,4336012
Os04g0457200,,
Os04g0463700,,4336079
Os04g0463700,,4336079
Os04g0466100,,
Os04g0468600,,4336108
Os04g0468600,,4336108
Os04g0468600,,4336108
Os04g0468600,,4336108
Os04g0468600,,4336108
Os04g0472500,,4336131
Os04g0476100,,
Os04g0476100,00260+1.4.3.21,
Os04g0476100,00960+1.4.3.21,
Os04g0476100,00360+1.4.3.21,
Os04g0476100,00350+1.4.3.21,
Os04g0476100,00950+1.4.3.21,
Os04g0476100,00410+1.4.3.21,
Os04g0476100,,
Os04g0476800,,4336158
Os04g0482000,,4336192
Os04g0482100,,
Os04g0503500,,4336323
Os04g0503500,,4336323
Os04g0530700,,4336485
Os04g0544500,,
Os04g0555300,,
Os04g0555300,,
Os04g0563300,,
Os04g0563300,,
Os04g0581100,,4336765
Os04g0583101,,9271390
Os04g0584600,,4336783
Os04g0584600,,4336783
Os04g0584600,,4336783
Os04g0585200,,
Os04g0585200,,
Os04g0600300,,4336875
Os04g0603200,,
Os04g0603200,,
Os04g0623300,,4337046
Os04g0623300,,4337046
Os04g0623300,,4337046
Os04g0623300,,4337046
Os04g0634400,05170+2.7.11.1,
Os04g0634400,05163+2.7.11.1,
Os04g0634400,04150+2.7.11.1,
Os04g0634400,04714+2.7.11.1,
Os04g0634400,05165+2.7.11.1,
Os04g0634400,04926+2.7.11.1,
Os04g0634400,04151+2.7.11.1,
Os04g0639200,,9269237
Os04g0640900,,4337168
Os04g0652700,,4337238
Os04g0652700,,4337238
Os04g0663700,,4337306
Os04g0665600,,4337318
Os04g0667600,,
Os04g0671300,,4337360
Os04g0677500,00230+2.7.1.40,4337406
Os04g0677500,00010+2.7.1.40,4337406
Os04g0677500,00620+2.7.1.40,4337406
Os04g0677500,00230+2.7.1.40,4337406
Os04g0677500,00010+2.7.1.40,4337406
Os04g0677500,00620+2.7.1.40,4337406
Os04g0683700,,4337447
Os04g0687900,,4337480
Os04g0687900,,4337480
Os04g0687900,,4337480
Os04g0689500,,
Os04g0689500,,
Os04g0690300,,4337495
Os04g0691366,,
Os04g0691400,,
Os04g0691800,,4337508
Os05g0102500,,
Os05g0102500,,
Os05g0104150,,4337548
Os05g0110000,,
Os05g0113000,,
Os05g0113000,,
Os05g0113500,,4337606
Os05g0113500,,4337606
Os05g0113500,,4337606
Os05g0120700,,
Os05g0122800,,4337662
Os05g0122800,,4337662
Os05g0122800,,4337662
Os05g0125600,,4337677
Os05g0149300,,
Os05g0149400,,4337818
Os05g0150800,00670+1.5.1.5+3.5.4.9,4337829
Os05g0150800,00720+1.5.1.5+3.5.4.9,4337829
Os05g0150800,00670+1.5.1.5+3.5.4.9,4337829
Os05g0150800,00720+1.5.1.5+3.5.4.9,4337829
Os05g0163250,,
Os05g0176700,,4337962
Os05g0207300,,4341262
Os05g0207300,,4338077
Os05g0223000,,9266860
Os05g0304900,,
Os05g0316200,,4338392
Os05g0316200,,4338392
Os05g0316200,,4338392
Os05g0322900,,4338413
Os05g0322900,,4338413
Os05g0322900,,4338413
Os05g0333500,,4338452
Os05g0333500,,4338449
Os05g0333500,,107275576
Os05g0333500,,4338452
Os05g0333500,,4338449
Os05g0333500,,107275576
Os05g0334000,,4338452
Os05g0334000,,4338449
Os05g0334000,,107275576
Os05g0334000,,4338452
Os05g0334000,,4338449
Os05g0334000,,107275576
Os05g0334400,,4338452
Os05g0334400,,4338449
Os05g0334400,,107275576
Os05g0343400,,4338474
Os05g0344200,,4338477
Os05g0361900,,4338540
