dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
7dpi	TraesCS5D02G452000							
7dpi	TraesCS5D02G550900							
7dpi	TraesCS6A02G001000	4141	TraesCS6A02G001000	25.84772414	2.92397787	4.581179957	4.62E-06	0.00035417
7dpi	TraesCS6A02G009200							
7dpi	TraesCS6A02G011500LC							
7dpi	TraesCS6A02G011600LC							
7dpi	TraesCS6A02G013600	4145	TraesCS6A02G013600	37.22910833	1.56685582	3.861488808	0.000112698	0.00389095
7dpi	TraesCS6A02G015400	4146	TraesCS6A02G015400	740.6662332	1.539623495	3.334024867	0.00085599	0.016695466
7dpi	TraesCS6A02G015500	4147	TraesCS6A02G015500	393.9978395	2.179740729	3.938968758	8.18E-05	0.003073162
7dpi	TraesCS6A02G047500	4153	TraesCS6A02G047500	21.10607601	4.619374591	5.253371833	1.49E-07	2.23E-05
7dpi	TraesCS6A02G063200							
7dpi	TraesCS6A02G064600LC							
7dpi	TraesCS6A02G418400	4310	TraesCS6A02G418400	312.132166	2.540604961	4.009901886	6.07E-05	0.002482924
7dpi	TraesCS6A02G538600LC							
7dpi	TraesCS6B02G022400	4321	TraesCS6B02G022400	1575.816172	1.717946446	3.085573987	0.002031597	0.030442858
7dpi	TraesCS6B02G045100							
7dpi	TraesCS6B02G063400							
7dpi	TraesCS6B02G071600							
7dpi	TraesCS6B02G113200							
7dpi	TraesCS6B02G125600							
7dpi	TraesCS6B02G148000							
7dpi	TraesCS6B02G189300							
7dpi	TraesCS6B02G197100							
7dpi	TraesCS6B02G278200	4405	TraesCS6B02G278200	757.3806623	0.86945562	3.993843144	6.50E-05	0.002608359
7dpi	TraesCS6B02G314100LC	4427	TraesCS6B02G314100LC	51.78679033	3.143015395	6.725111323	1.75E-11	8.11E-09
7dpi	TraesCS6B02G342400							
7dpi	TraesCS6B02G389200							
7dpi	TraesCS6B02G404500							
7dpi	TraesCS6B02G468600							
7dpi	TraesCS6B02G494100LC	4482	TraesCS6B02G494100LC	63.23877204	1.08824355	2.933212223	0.003354745	0.043052463
7dpi	TraesCS6B02G524300LC							
7dpi	TraesCS6B02G792300LC							
