gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj						
TraesCS3A02G537600	comparisonCON	4638	TraesCS3A02G537600	170.5069	1.408115	4.5931	4.37E-06	7.77E-05						
TraesCS3A02G537600	comparisonSAvOA	1594	TraesCS3A02G537600	181.6623683	-1.106624801	-4.344210125	1.40E-05	0.000304791						
TraesCS3A02G537600	comparisonSAvSO													
TraesCS3A02G537600	comparisonSOvOA	844	TraesCS3A02G537600	101.9606696	-0.727882645	-4.033277405	5.50E-05	0.001547368						
TraesCS3B02G015000	comparisonCON	4681	TraesCS3B02G015000LC	5.146011	2.510598	2.694569	0.007047981	0.04040572						
TraesCS3B02G015000	comparisonSAvOA	1615	TraesCS3B02G015000	26.67490387	-3.993691131	-6.232199108	4.60E-10	4.00E-08						
TraesCS3B02G015000	comparisonSAvSO													
TraesCS3B02G015000	comparisonSOvOA	854	TraesCS3B02G015000	33.65811376	-3.348969812	-7.021993107	2.19E-12	2.74E-10						
TraesCS3B02G039700	comparisonCON	4705	TraesCS3B02G039700	113.3844	1.313725	3.150567	0.00162954	0.01241205						
TraesCS3B02G039700	comparisonSAvOA	1624	TraesCS3B02G039700	106.7966246	-1.649093719	-4.93611745	7.97E-07	2.64E-05						
TraesCS3B02G039700	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:642	TraesCS3B02G039700	29.09179661	-0.50999242	4.02783506	5.63E-05	0.002223088						
TraesCS3B02G039700	comparisonSOvOA	862	TraesCS3B02G039700	25.99546265	-0.990423113	-3.439055092	0.000583748	0.011710043						
